LINK,SOURCE,PHRASE,TITLE,CONTENT,DATE_ENTERED
www.reuters.com,"""did not wish to be identified""",UPDATE 1-Libya to resume oil shipments from Hariga after talks ...,http://www.reuters.com/article/libya-oil-exports-idUSL5N18D4JT,"... Sarir crude at Hariga to take to the 120,000 barrel-per-day Zawia refinery in  western Libya, an official from Tripoli who <b>did not wish to be identified</b> told  Reuters&nbsp;...",2016-05-20
www.washingtonpost.com,"""did not wish to be identified""","UPDATED: Cashion&#39;s Eat Place to close, Johnny&#39;s Half Shell to take ...",https://www.washingtonpost.com/news/going-out-guide/wp/2016/05/05/cashions-eat-place-to-close-johnnys-half-shell-to-take-over-the-space/,"Sources, who <b>did not wish to be identified</b>, say Cashion&#39;s Eat Place had seen a  decline in business, even as Adams Morgan has become a dining destination&nbsp;...",2016-05-20
www.reuters.com,"""did not wish to be identified""",Ardian to launch sale of Riemser after dividend recapitalisation ...,http://www.reuters.com/article/ardian-riemser-recapitalisation-idUSL5N1833W5,"No bank has yet been mandated to arrange the sale, according to the sources,  who <b>did not wish to be identified</b> because the talks are private. Ardian declined to &nbsp;...",2016-05-20
www.bloomberg.com,"""did not wish to be identified""",Aegis Limited: Private Company Information - Businessweek,http://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=27439652,"A senior Essar group employee, who <b>did not wish to be identified</b>, told FE that the  group is looking at options to sell part of Essar Ports stake to investors in Essar&nbsp;...",2016-05-20
www.nytimes.com,"""did not want to be identified""",Study Finds Few Obstacles to Lifting Military&#39;s Transgender Ban ...,http://www.nytimes.com/2016/05/17/us/military-transgender-ash-carter.html,... to The New York Times on the condition of anonymity because he <b>did not want</b>  <b>to be identified</b> disclosing a document that has not been released to the public.,2016-05-20
www.reuters.com,"""did not want to be identified""",New police force finds old habits die hard in Ukraine | Reuters,http://www.reuters.com/article/us-ukraine-crisis-police-idUSKCN0Y80WN,"A Western diplomat, who <b>did not want to be identified</b> by name, said the fight  back by prosecutors showed reforms were starting to have a real impact.",2016-05-20
www.reuters.com,"""did not want to be identified""","Fueled by drugs, sex trafficking reaches &#39;crisis&#39; on Native American ...",http://www.reuters.com/article/us-trafficking-nativeamericans-drugs-idUSKCN0Y818L,"... and authorities won&#39;t believe them and will instead defend the trafficker, said  an Indian Health Service social worker who <b>did not want to be identified</b>. &quot;Nobody &nbsp;...",2016-05-20
www.reuters.com,"""did not want to be identified""",Exclusive: Chipotle hires former critic to help improve food safety ...,http://www.reuters.com/article/us-chipotle-safety-idUSKCN0Y20AG,"The goal was to make it easier for Chipotle to trace the origins of the products,  according to the source, who <b>did not want to be identified</b>. River Point declined to &nbsp;...",2016-05-20
www.reuters.com,"""did not want to be identified""",China&#39;s HNA in talks to acquire Singapore&#39;s CWT for $1 billion ...,http://www.reuters.com/article/us-cwt-ltd-m-a-hna-idUSKCN0XX0M9,The sources <b>did not want to be identified</b> as the information was not public. CWT  did not immediately respond to a Reuters query while a spokeswoman at HNA&nbsp;...,2016-05-20
www.nytimes.com,"""did not want to be identified""",Sexual Abuse Questions Swirl Around Yeshiva Leader in Kiryas Joel,http://www.nytimes.com/2016/05/18/nyregion/sexual-abuse-questions-swirl-around-yeshiva-leader-in-kiryas-joel.html,The parents <b>did not want to be identified</b> because they were wary of being drawn  into the investigation. The video was filmed from overhead in the office of the&nbsp;...,2016-05-20
www.reuters.com,"""did not want to be identified""",Trump dips toe into delicate U.S. debt discussion | Reuters,http://www.reuters.com/article/us-usa-election-trump-debt-idUSKCN0XX29Q,"... default on U.S. debt, despite being asked multiple times,&quot; said the adviser, who  <b>did not want to be identified</b> because he was not authorized to speak publicly.",2016-05-20
